time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{bodyFMU}.body.wheel_left_rotation,{bodyFMU}.body.wheel_right_rotation,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0
0.01,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,144.00000000000003,143.00000000000003
0.02,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,206.00000000000006,205.00000000000006
0.03,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,233.00000000000006,234.00000000000006
0.04,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,246.00000000000006,246.00000000000006
0.05,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,251.00000000000006,251.00000000000006
0.060000000000000005,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,253.00000000000006
0.07,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,253.00000000000006,254.00000000000006
0.08,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.09,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.09999999999999999,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.10999999999999999,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.11999999999999998,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.12999999999999998,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.13999999999999999,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.15,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.16,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.17,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.18000000000000002,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.19000000000000003,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.20000000000000004,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.21000000000000005,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.22000000000000006,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.23000000000000007,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.24000000000000007,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.25000000000000006,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.26000000000000006,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.2700000000000001,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.2800000000000001,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.2900000000000001,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.3000000000000001,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.3100000000000001,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.3200000000000001,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.3300000000000001,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,255.00000000000006
0.34000000000000014,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,255.00000000000006,254.00000000000006
0.35000000000000014,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.36000000000000015,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.37000000000000016,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,255.00000000000006
0.38000000000000017,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.3900000000000002,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.4000000000000002,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.4100000000000002,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.4200000000000002,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
0.4300000000000002,0.01,0.0,0.0,0.0,0.138,-0.08,0.0,0.0,0.0,0.0,0.0,254.00000000000006,254.00000000000006
